title,mse,rmse,psnr,ssim
68_IM-0704-0017_anon,,,,
143_IM-0391-0056_anon,0.000815573672298342,0.02855825051665306,30.885367800997948,0.6843506685228173
558_IM-0123-0005_anon,,,,
211_IM-0374-0007_anon,,,,
548_IM-0020-0071_anon,,,,
613_IM-0484-0052_anon,0.0008372810552828014,0.028935808688402176,30.771287733113457,0.6409204454258778
240_IM-0772-0072_anon,0.0006965968059375882,0.026393121108412743,31.570184900831187,0.7535438375883836
488_IM-0299-0003_anon,0.0009969178354367614,0.031574007123708725,30.013406458152005,0.5517959866734377
207_IM-0383-0025_anon,0.0008552207727916539,0.029244158416986465,30.67921780626609,0.674826233352566
41_IM-0439-0032_anon,0.0010041629429906607,0.03168852999806404,29.981957836750635,0.5535920768056289
